"NOTE: THIS LIST MAY BE INCOMPLETE! IF YOU NOTICE MISSING ENTRIES OR MISTAKES, PLEASE CONTACT ME AT BENJAMIN.PAASSEN@DFKI.DE ! NOTE: EXPERIMENTAL METADATA LISTED IN NEXT SLIDE",,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Nickname,Language,graph representation,represents words as character sets (bitwise),filters anagrams,words indexed by contained characters,uses character frequency,pruning character sets that were already tried,recursive,parallelized,Knuth's Algorithm X,Approach/Tricks,lines of code (including comments),Source Code URL,tweet/form of announcement,timestamp of announcement [CEST],github version timestamp for evaluation [CEST],hyperfine mean time [ms],hyperfine std [ms],hyperfine min [ms],hyperfine max[ms],Median execution time [ms],Execution time trial 1 [s],Execution time trial 2 [s],Execution time trial 3 [s],
Matt Parker,standupmaths,Python,0,0,1,0,0,0,0,0,0,"anagram filtering; building pairs of words, then merging pairs; used reported execution time by Matt",110,https://github.com/standupmaths/fiveletterworda,https://twitter.com/AProblemSquared/status/1548948689229594624,2022-07-18 10:32,2022-08-03 22:11,"too long, not executed",,,,"2,760,670,300","2,760,670",,,Just for reference! I did not actually run this implementation. This is the number released by Matt Parker himself.
Benjamin Paassen,bpaassen,Python,1,0,0,0,0,0,0,0,0,graph representation; pruning symmetric pairs; no anagram filtering!,133,https://gitlab.com/bpaassen/five_clique,https://twitter.com/bpaassen1/status/1549326759505559558,2022-07-19 11:34,2022-07-19 16:59,"too long, not executed",,,,"1,338,000",1.34E+03,,,
Neil Coffey,neilcoffey,Java,0,1,1,0,0,0,0,0,0,representation of words via bitwise sets of letters; separate handling between loops 1/2 and 3/4/5,207,https://github.com/neilcoffey/FunStuff/tree/main/WordleFiveWordFinder,https://twitter.com/BitterCoffey/status/1553297093334388736,2022-07-30 10:31,2022-07-29 17:44,"15,336",588,"14,793","16,668","15,026",1.50E+01,1.50E+01,1.50E+01,
Phire,phire,Python,1,1,1,0,0,1,0,0,0,graph representation + more pruning (starting from bpaassen's solution),154,https://github.com/phire/five_clique,https://twitter.com/phirenz/status/1555072727534694400,2022-08-04 08:06,2022-08-04 13:28,"15,527",214,"15,300","16,030","16,714",1.57E+01,1.73E+01,1.67E+01,
David van den Berg,Azuzl,Python,0,1,0,1,1,1,0,0,0,iterative implementation that goes over the alphabet once and keeps a list of candidates to which this character could be added (or the character could be skipped); binary representation of words and indexing tricks,173,https://github.com/Azuzl/parker-word-square,https://twitter.com/4z4i/status/1555138929640226817,2022-08-04 12:29,2022-08-04 11:05,"2,735",324,"2,278","3,179","2,136",2.39E+00,2.14E+00,2.12E+00,
Sylvester Hesp,oisyn,C++,0,1,1,1,1,0,1,0,0,representation of words via bitwise sets of letters; an index to quickly find words which contain a certain letter; start with words which contain infrequent letters and work to frequent letters,178,https://github.com/oisyn/parkerwords,https://twitter.com/oisyn/status/1555152956097437696,2022-08-04 13:25,2022-08-04 13:22,"51,223",752,"49,458","52,057","52,836",5.28E+01,5.27E+01,5.34E+01,
IlyaNikolaevsky,IlyaNikolaevsky,C++,0,1,1,0,0,0,1,0,0,representation of words via bitwise sets of letters; recursion; dynamic programming,99,https://github.com/ilyanikolaevsky/five_words,https://twitter.com/IlyaNikolaevsky/status/1555262027752407041,2022-08-04 20:38,2022-08-04 20:04,"6,104",45,"6,041","6,180","5,860",5.85E+00,5.88E+00,5.86E+00,
Gé Weijers,gweijers,C,0,1,1,0,0,0,1,0,1,Donald Knuth's Algorithm X for the set cover problem,511,https://github.com/gweijers/wordle_cover,reconstructed from github,2022-08-04 20:57,2022-08-04 08:57,"2,467",18,"2,449","2,502","2,580",2.51E+00,2.58E+00,2.60E+00,
Kristin Paget,KristinPaget,C,0,1,1,0,0,0,0,1,0,parallelization,299,https://github.com/kristinpaget/fivewords,https://twitter.com/KristinPaget/status/1555281153455624192,2022-08-04 21:54,2022-08-04 21:50,"1,042",23,"1,022","1,091","1,045",1.03E+00,1.07E+00,1.05E+00,
Bryan Redd,ae6nr,Python,0,0,1,0,1,1,0,0,0,"backtracking perspective; add characters, starting from the most infrequent one",222,https://github.com/ae6nr/25letters,reconstructed from github,2022-08-04 23:13,2022-08-04 23:13,"38,242",984,"36,245","39,311","37,226",3.75E+01,3.72E+01,3.67E+01,
